Name,Temp,Tissue,Condition,Weight,ACar 12:0,ACar 12:1,ACar 14:0,ACar 14:1,ACar 14:2,ACar 16:0,ACar 16:1,ACar 16:2,ACar 18:0,ACar 18:1,ACar 18:1(d3),ACar 18:2,BMP 18:2_22:6,CE 18:1,CE 18:1(d7),CE 18:2,CE 20:3,CE 20:4,CE 20:5,CE 22:6,Cer_NS d18:1_22:0,Cer_NS d18:1_24:0,Cer_NS d18:1_24:1,DG 15:0_18:1(d7),LPC 0:0/16:0,LPC 0:0/16:1,LPC 0:0/18:0,LPC 0:0/18:1,LPC 0:0/18:2,LPC 0:0/18:3,LPC 0:0/20:2,LPC 0:0/20:4,LPC 0:0/20:5,LPC 0:0/22:5,LPC 0:0/22:6,LPC 14:0/0:0,LPC 15:0/0:0,LPC 16:0/0:0,LPC 16:1/0:0,LPC 17:0/0:0,LPC 17:1/0:0,LPC 18:0/0:0,LPC 18:1/0:0,LPC 18:1/0:0(d7),LPC 18:2/0:0,LPC 18:3/0:0,LPC 19:0/0:0,LPC 20:0/0:0,LPC 20:1/0:0,LPC 20:2/0:0,LPC 20:3/0:0,LPC 20:4/0:0,LPC 20:5/0:0,LPC 22:0/0:0,LPC 22:5/0:0,LPC 22:6/0:0,LPC 24:0/0:0,PC 14:0_16:0,PC 14:0_18:2,PC 14:0_20:4,PC 14:0_22:6,PC 15:0_18:1(d7),PC 15:0_18:2,PC 15:0_20:4,PC 15:0_22:6,PC 16:0_16:0,PC 16:0_16:1,PC 16:0_17:1,PC 16:0_18:0,PC 16:0_18:1,PC 16:0_18:2,PC 16:0_18:3,PC 16:0_18:3_2,PC 16:0_20:3,PC 16:0_20:4,PC 16:0_20:5,PC 16:0_22:6,PC 16:1_18:1,PC 16:1_18:2,PC 16:1_20:4,PC 16:1_22:6,PC 16:1_22:6_2,PC 16:2_18:2,PC 17:0_18:1,PC 17:0_18:2,PC 17:0_20:4,PC 17:0_20:4_2,PC 17:0_22:6,PC 17:1_18:2,PC 18:0_18:0,PC 18:0_18:1,PC 18:0_18:2,PC 18:0_20:1,PC 18:0_20:3,PC 18:0_20:4,PC 18:0_20:5,PC 18:0_22:4,PC 18:0_22:5,PC 18:0_22:5_2,PC 18:0_22:6,PC 18:1_18:1,PC 18:1_18:2,PC 18:1_20:3,PC 18:1_20:3_2,PC 18:1_20:4,PC 18:1_22:6,PC 18:2_18:2,PC 18:2_18:3,PC 18:2_20:4,PC 18:2_20:5,PC 18:2_22:5,PC 18:2_22:6,PC 19:0_18:1,PC 19:0_18:2,PC 19:0_18:3,PC 19:0_20:4,PC 20:0_18:2,PC 20:0_20:4,PC 20:0_22:6,PC 20:1_18:2,PC 20:1_22:6,PC 20:2_20:4,PC 20:3_20:4,PC 20:4_22:6,PC 22:0_18:2,PC 32:2,PC 34:4,PC 36:4,PC 36:6,PC 36:6_2,PC 37:5,PC 37:5_2,PC 37:5_3,PC 38:2,PC 38:3,PC 39:5,PC 39:5_2,PC 39:7,PC 40:3,PC 41:6,PE 15:0_18:1(d7),PE 16:0_22:6,PE 18:0_20:4,PE 18:0_22:6,SM d16:0_18:0,SM d18:1_18:1(d9),SM d32:1,SM d33:1,SM d34:1,SM d34:2,SM d36:1,SM d36:2,SM d39:1,SM d40:1,SM d40:2,SM d41:1,SM d41:2,SM d42:1,SM d42:2,SM d42:3,SM d44:4,TG 14:0_16:0_18:2,TG 14:0_18:2_18:2,TG 15:0_16:0_16:0,TG 15:0_18:1(d7)_15:0,TG 16:0_16:0_16:0,TG 16:0_16:0_16:1,TG 16:0_16:0_17:0,TG 16:0_16:0_18:0,TG 16:0_16:0_18:1,TG 16:0_16:1_18:2,TG 16:0_17:0_18:1,TG 16:0_18:0_18:0,TG 16:0_18:0_18:1,TG 16:0_18:1_18:1,TG 16:0_18:1_18:2,TG 16:0_18:1_20:4,TG 16:0_18:1_22:6,TG 16:0_18:2_18:2,TG 16:0_18:2_18:3,TG 16:0_18:2_18:4,TG 16:0_18:2_20:4,TG 16:0_18:2_20:5,TG 16:0_18:2_22:6,TG 16:1_18:2_18:2,TG 16:1_18:2_18:3,TG 16:1_18:2_22:6,TG 17:0_18:1_18:2,TG 18:0_18:0_18:0,TG 18:0_18:1_20:4,TG 18:0_18:1_22:6,TG 18:1_18:1_18:1,TG 18:1_18:1_18:2,TG 18:1_18:2_18:2,TG 18:1_18:2_20:1,TG 18:1_18:2_20:4,TG 18:1_18:2_22:6,TG 18:1_20:4_22:6,TG 18:1_22:6_22:6,TG 18:2_18:2_18:2,TG 18:2_18:2_18:3,TG 18:2_18:2_20:4,TG 18:2_18:2_20:5,TG 18:2_18:2_22:6,TG 18:2_18:3_20:5,TG 18:2_20:4_20:5,TG 18:2_20:4_22:6,TG 18:2_20:5_20:5,TG 18:2_20:5_22:6,TG 18:2_22:6_22:6,TG 44:0,TG 50:1,TG 50:2,TG 50:3,TG 51:2,TG 51:3,TG 51:4,TG 52:0,TG 52:1,TG 52:6,TG 52:6_2,TG 52:8,TG 53:2,TG 53:3,TG 54:1,TG 54:2,TG 54:3,TG 54:4,TG 54:5,TG 54:6,TG 54:6_2,TG 54:7,TG 54:7_2,TG 54:8,TG 54:8_2,TG 56:10,TG 56:11,TG 56:3,TG 56:5,TG 56:6,TG 56:7,TG 56:7_2,TG 56:8,TG 56:8_2,TG 56:9_2,TG 58:10,TG 58:11,TG 58:11_2,TG 58:12,TG 58:8,TG 58:9_2,TG 60:11,TG 60:12,TG 60:12_2,TG 60:13,TG 62:13,TG 62:15,TG 62:16,TG 64:17
1,RT,Plasma,Plasma_RT,100,6020,NA,10733,6681,3112,57398,6365,5084,22088,187219,440547,30339,3662,290335,459212,2503503,153137,2048927,234413,1283011,27795,27568,24655,27904,254080,10021,132992,218560,658547,12559,99127,204162,10409,10470,147827,10999,18038,2469378,36450,31106,3409,1558868,446554,310344,1336366,17609,25167,52741,35749,13460,69127,358264,21692,12886,14200,297537,12180,113135,38078,8196,29342,2476883,74817,61109,40351,695981,194186,130910,183808,5684970,16282240,231459,105442,1618821,7993634,406741,10111961,167889,308321,62515,30280,86597,5355,55610,269948,112072,143580,83338,33300,348882,886793,9527188,141459,822980,4770871,219992,22721,47505,270858,2470683,420082,1550139,223656,179201,1275197,804901,978307,137948,328843,35606,13728,188117,18935,119948,100267,44681,398229,74927,51334,244411,64189,39098,51352,69257,8472,25859,5379,41428,4874,5794,123036,20200,91460,144397,14520,22756,123895,10038,21363,53238,48311,4444378,5412810,2750631,36324,317733,9177,57455,515448,77874,274239,85135,31998,374643,402475,80492,48014,177955,597562,256502,238888,57550,70236,35740,1042442,114906,75370,56893,93507,721236,464714,39860,92925,154972,3288440,4645507,171854,669307,4490506,325028,60312,254603,415644,1105119,261891,48842,123357,88051,74768,133466,192417,1105305,1132854,1401700,184207,389996,441759,105021,94480,486426,141750,236475,184631,287256,40144,210332,202630,135074,268902,194594,55828,723713,838215,465438,75778,55545,27847,92925,165606,48842,60143,4302,1537841,86540,64379,250109,1108416,1132854,171854,486426,616722,415644,141750,32066,80404,40144,15655,118370,136597,191044,669307,389996,1105131,236475,123357,287256,209853,38536,135074,226741,36470,101336,122778,202614,268902,97348,20556,11097,48132
2,RT,Plasma,Plasma_RT,100,3009,NA,14794,8122,4459,74887,12544,7215,30779,227359,468629,41625,2988,525853,381806,3583538,145231,2155996,339187,1943599,52225,70489,41067,37202,312614,12297,205113,359275,1572799,19313,110810,266483,24378,14156,232847,15544,25145,4411091,48818,48304,7757,3967817,543814,324343,1943669,23708,54495,84729,43809,14570,36882,260852,27636,16174,12279,255258,19843,238030,79949,12483,50346,2627465,124172,58496,40689,1419703,336776,193611,282280,8029336,19575400,388133,159190,1362512,8567611,617739,12056650,237359,473174,61683,33688,78562,15650,105727,471670,120640,173592,87484,38821,675736,1734106,16496617,227804,1007631,6652137,407891,35263,82093,400151,5623515,649501,2342627,416183,360876,1259639,791541,2234891,223091,323576,54241,21315,176863,44456,282351,117857,62452,492606,78192,65451,386346,137557,47503,53704,46437,18080,19175,8430,71164,7177,8366,155892,32825,75261,232305,16605,32000,153180,7410,17395,71500,47424,4855267,8554265,3797222,62654,341302,17339,117130,1066572,138910,525917,149571,65289,832501,730737,160051,66616,433080,1162823,468891,361048,81621,111075,37328,1091886,171372,108503,67772,108915,913197,573779,407513,87907,286314,3635361,5739660,174071,706692,5937945,387524,74090,319296,528922,1422727,332247,63477,191906,114231,129152,198644,212380,1447394,1478492,1942505,282946,437550,628313,139258,142920,713396,215681,392969,325918,427956,122014,385225,290501,329603,500423,320681,56617,883349,896286,573746,50934,62236,38903,87907,286528,63477,75226,21777,1796555,114231,151631,300503,1463281,1478492,173842,713396,703122,528922,215681,77714,57735,122014,34290,169349,198644,209130,841804,459466,1430400,392969,191906,427956,385225,170577,329603,285296,27675,149514,154576,290501,500423,142920,41280,25491,70632
3,RT,Plasma,Plasma_RT,100,2955,2928,13672,9777,3147,69630,10193,6393,22331,199617,440811,38041,NA,309363,352975,2756318,161061,1823365,295627,1483209,29867,30062,29970,34513,336876,12204,177729,278609,1004785,16772,95802,248502,22302,19328,188394,18915,27050,3515308,57956,46296,8252,2321008,566280,301225,2056306,22030,37856,72839,40608,12790,79172,436376,38934,14948,22068,382413,16237,92023,63182,12409,55229,2420955,106562,74380,50983,711167,245512,184998,213266,6804230,18242510,276034,149419,1746689,9139673,680528,11602052,233668,501635,87482,35060,125859,7081,81233,337191,165136,168268,92990,67276,394490,1113602,11881676,165059,945012,5487527,331396,23077,48741,334718,3271890,493181,1733186,276557,289927,1411363,863641,1419971,237351,405472,59681,18978,232506,36136,188136,100533,62966,457452,75966,64313,286798,78151,48685,62279,86035,10976,22694,2374,50567,9029,7173,158932,23976,70113,192469,15282,27202,122128,18287,15451,66002,47103,5185581,6526384,3144225,55209,319439,9480,71013,628181,102378,284845,106681,50749,555022,507562,112859,63226,240517,686930,312100,312866,124067,164275,35329,951143,163887,139803,80400,67194,1066583,955555,493030,110621,327412,4639174,6939327,179795,772680,6980142,600352,80683,350384,663512,1501554,473824,101374,229894,148373,85903,186435,246869,1496523,1519406,2081951,299885,461743,527639,98436,106637,857931,328395,279374,251107,292104,29728,226894,177120,189911,316206,198232,46326,1066739,1024673,955555,88435,89571,49397,110621,327412,101374,86932,4751,2196196,148373,128716,422089,1496523,1519406,179795,856475,828782,663512,328395,47207,65123,29406,13532,181849,186435,136084,841066,461743,1511173,287318,228796,336916,226894,64405,189911,306873,64940,87355,147840,177120,303127,106396,9324,15094,47903
4,RT,Plasma,Plasma_RT,100,6517,4318,15921,11583,5352,94676,14785,6090,34942,240400,449899,50282,3345,458313,331402,3928066,237676,2275970,406828,2240381,47216,61211,49843,29757,554746,18866,299288,403490,1445120,27194,103999,334263,25806,22210,235685,30235,40361,6247068,96839,69208,10958,4437685,1335328,302566,4981377,62705,65562,137633,90762,32154,168676,945143,72602,26286,33492,794815,31167,179375,121950,25175,81922,2402259,162327,136679,77200,1193905,361832,256098,382421,10665589,19853569,581994,315802,3047526,13335326,1078227,15289690,366130,843936,136715,36404,139899,17694,128958,485478,210344,205444,112301,68856,783903,2129855,15799514,277692,1485790,7759362,490237,41821,102214,430399,5078020,776062,2678042,523138,423590,2198719,1334217,2809259,342613,667002,77708,25946,320351,48620,243869,113790,97402,692026,141338,91942,486023,145241,61190,105252,120352,20288,25115,9509,73065,10918,8162,117551,29333,87479,300826,35034,35447,134814,17521,26616,79478,46005,7312456,8320233,4554581,79695,298207,14576,115043,995350,163801,472299,147964,62515,917674,897174,176338,79292,438782,1383017,588339,391110,156653,260246,43035,991469,234549,153106,112416,138821,1484990,1296159,724252,130723,472995,7209950,11482752,320510,1647813,11400919,862452,201971,622387,764549,3058160,715390,139901,313296,229347,96417,300521,297006,2262562,2658146,3089768,361935,929129,1063794,228735,183195,1442068,361391,564562,382018,708962,104163,374353,352547,280669,461056,341560,50289,1484990,1362439,1273920,114035,139226,88907,130723,472995,144609,201971,11505,3536195,229347,210256,503134,2175914,2658146,389677,1553357,924019,1060437,402048,75936,107393,71192,26154,279789,300521,335640,1647813,930421,3054906,539237,214438,708962,374672,111160,280669,537879,137763,228735,222355,352547,461056,183195,41807,18263,65204
5,RT,Plasma,Plasma_RT,100,2900,NA,11099,8126,2652,68591,7314,5564,29419,209605,448919,39801,4019,494687,432141,3238231,161397,2132106,329844,1694362,35967,51169,30141,31449,347635,13226,223415,280746,1106991,13480,102820,237467,21768,20147,225795,17205,23641,4034547,42555,51587,5861,3332731,526402,318448,2120113,20338,48810,81686,43788,16313,57890,358379,34385,17511,20040,384964,18715,147418,67607,10859,31323,2471273,89368,76466,46336,743950,181695,124244,227172,6722811,18854656,283315,122973,1356004,7930712,684457,10897582,164798,285573,36498,29370,56238,4972,83271,397805,105571,136773,100701,52800,524438,1342212,14148282,186972,954026,5858316,398024,27320,55472,329052,4339579,463035,1728623,315221,265793,1081169,705479,1535968,178152,294239,47098,16321,184008,32868,219757,123507,58159,474702,64210,57629,288661,100475,36505,45849,54577,17003,24772,4949,57966,5841,5783,88090,15992,73036,203852,NA,30300,119990,4169,20511,67515,46168,4534963,7593728,3294960,67867,324762,11646,92151,813060,105641,291646,84841,53861,745127,563299,161562,57623,378596,902139,353089,290462,51263,66346,34083,1059477,113676,65004,67743,104173,589323,310988,288878,79789,214984,2189379,3509599,137975,509644,4193693,266143,51098,256564,492850,1673151,174260,27813,100869,68681,97078,148842,159085,948973,886065,1283482,142135,434664,704469,187829,290509,486806,98098,390377,282525,521456,105579,401379,424294,453051,917820,630732,52832,586924,752946,310988,25005,39023,30461,79789,214984,27813,51007,14823,1049487,59528,118073,250218,925344,886065,142694,411702,329162,492850,98098,40853,44309,105586,32281,104428,162282,180701,841898,434299,1673151,390377,100869,521456,441889,63337,453051,312012,36953,218179,154136,415481,917820,290509,65078,35350,98341
6,RT,Plasma,Plasma_RT,100,4923,3127,7270,6799,2724,54376,6839,3764,22909,173679,391571,27151,1778,410600,442332,2943715,172966,2285347,293197,1549943,26380,28435,18928,32397,257586,12856,147758,258851,963359,15059,90217,250463,19595,11007,183576,12071,22399,3141441,45245,45123,3549,2211557,467447,276234,1588808,18726,43903,70557,36981,10671,51744,331310,29044,14437,10501,267190,17750,112356,62382,11013,41117,2112406,94630,70574,50811,685106,187292,114715,180867,5353426,17151575,270545,88316,1316447,7854248,552780,10233232,174882,389371,68548,23754,95820,8691,68944,342489,113911,112056,90461,59773,338499,894325,10690288,130985,786779,5039538,272354,15498,46662,275252,2786439,431055,1624689,224683,218187,1169513,771834,1309777,207824,370635,60162,15720,218561,25967,202610,91839,58414,382622,70319,56219,246068,68825,42778,52846,66970,15279,15564,4692,53019,6821,7231,101849,16760,72959,183846,13787,14227,14978,14857,19876,64934,48019,4458481,5944165,2885013,49633,282682,12302,82677,558969,83450,255640,75570,42250,528908,402841,117445,55267,234052,584819,263066,252499,41028,70540,33942,978686,113734,64875,56845,52501,512050,319339,256326,66810,193117,1850200,3154720,112155,461453,3821636,273545,40208,237304,394901,975202,195652,35224,96521,60831,92851,102517,134903,772747,816721,1345771,116105,339638,469333,83684,91372,593475,170161,97230,195823,361113,51294,270367,193564,227137,353097,229464,59569,512039,699792,319339,13214,35046,27136,66810,193094,35224,40208,7071,100664,90687,66064,167023,773069,816721,112155,593475,523890,394901,170161,24213,37542,51774,14123,122174,95197,125580,583288,331494,977634,223746,96521,361113,270357,43513,227137,172707,39395,93582,71406,219432,353097,91372,36829,21205,56228
7,Cold,Plasma,Plasma_Cold,100,14454,10665,68790,20303,14173,192290,45734,27543,57185,394599,478852,114834,NA,470325,422794,3903841,206680,3024884,423292,2223927,51427,57750,49793,40709,318790,25523,150867,492193,1884285,23733,112868,345906,22953,19050,227431,24627,32333,4512162,75207,52145,10813,3167406,746568,333324,2392661,31662,47927,109939,37424,10508,47024,381514,30586,19375,11986,263654,20253,180391,129700,15820,71013,2643601,152828,107761,63007,1110011,364741,246181,284849,9287308,19577782,373624,274292,1655753,9862236,619988,12255243,383781,880188,102047,37558,143233,23169,115866,459400,147775,188562,95458,87461,632467,1813349,14478167,227626,926108,6512081,343510,37702,73956,402136,4992033,752021,2718122,410196,310890,1549248,926922,2571379,298539,484893,65762,22548,227783,46648,249544,144625,72287,426806,83690,66739,279094,126355,45612,60565,85921,14734,25159,9243,73674,9839,9424,194871,25543,68086,212385,17656,28316,128297,11748,23046,88592,40515,5376422,7722655,3703258,64245,329256,14581,107592,891118,140879,422963,151466,71788,879355,776313,192048,88742,466358,1105467,460850,348841,188182,133651,33106,1166161,215203,179623,106439,113441,1167541,758527,59819,91781,339197,3289433,4078574,207249,654192,3432007,296826,57333,333164,348558,859784,321015,52227,103313,99863,130674,177389,170031,1500916,1518230,1804208,293948,440468,500735,172784,114624,594089,139598,267503,140293,352072,61589,417313,318230,207358,300698,191968,63875,1169564,1148835,758527,61229,59290,19145,91781,339197,52225,57333,36870,1610249,123728,48150,396638,1495653,1518230,207249,594089,439415,348558,139598,55950,26995,59435,20663,207383,178728,181691,652817,440468,758922,267503,119649,352072,417313,52919,207358,283474,20089,172784,125063,318230,301877,114434,43582,20769,59766
8,Cold,Plasma,Plasma_Cold,100,8205,9862,33720,12621,6511,97337,22366,13922,32101,249504,444570,62802,NA,318056,476617,2838884,177769,2832408,288550,1288863,22561,23109,27325,36036,194373,14029,84005,227613,947064,14858,102300,251102,16072,NA,131308,13722,16184,2492255,45460,32164,2539,1705669,316909,314974,958561,13684,29055,36341,18588,3614,27806,211893,17181,10780,6590,102123,11861,122791,59101,17249,46313,2364925,87378,60092,33411,823613,234145,158694,188038,4581537,16400291,212365,127236,1256054,7646021,404224,8710630,198105,432671,68627,29636,88323,13017,58736,281425,110135,124664,82056,46544,354096,816197,10348740,127087,765680,5182788,227939,22920,43103,250965,2427835,415463,1691090,206431,163588,1021080,600399,1088025,165193,276455,47020,11080,129071,29385,150107,89074,54076,375087,46155,30001,258326,52199,33284,42077,45364,8573,26314,10068,42007,14261,7364,130781,17231,71236,98020,14856,22345,104879,6914,13642,48619,42874,4359368,5800066,2983527,28171,318303,9264,70728,536572,75942,304164,99372,33963,353824,357373,92496,54165,177256,607191,242691,230040,79677,50608,33379,1050717,154949,122079,58667,71008,685152,364273,319396,45817,187271,1455623,1564262,65527,225424,1304666,94385,23119,107646,148267,301515,141244,25553,41881,18166,100972,118224,95605,724929,669512,731667,152261,181107,179927,59675,43687,239746,53508,111153,75666,112001,34250,155663,113038,85646,123449,65336,57876,671626,840128,364273,68566,22588,9684,45817,187271,26462,23985,9215,774192,18166,120742,242043,724929,669512,65527,241294,231358,148267,53508,19557,23954,20192,8768,83044,107337,81037,225424,181107,301424,111153,41881,112435,171932,21641,85646,56428,10169,59675,45052,112274,123449,43687,16928,8255,43204
9,Cold,Plasma,Plasma_Cold,100,16108,9663,65695,36793,13991,171829,34162,30971,57697,377912,406612,130821,2651,408658,395188,3530602,174020,2328808,370381,1850601,51008,54073,35732,31389,259628,14272,117640,438253,1554812,20636,91936,275565,24412,15244,175545,21389,28736,3556972,57536,47161,8057,2633380,551854,281070,1702768,27015,49751,89607,28704,6526,30736,258828,28870,18205,7585,173281,17482,119719,137482,20138,71679,2110465,169908,110214,66578,668144,255606,203137,207400,8437216,19265217,313161,191072,1362364,8796795,655327,11201109,305869,684095,81108,31899,99330,20389,123016,493519,139827,170674,119971,69344,399124,1805165,14713527,167202,965659,6280061,405445,30925,71500,420654,5258317,718056,2719149,357907,301352,1235992,744331,2615075,291962,361803,71087,25095,231081,51081,245065,109746,72222,494756,90927,77518,263851,118133,45307,52770,79119,15765,22682,10027,59622,13249,10107,75765,25675,70573,220951,21336,34705,120577,16120,19925,74626,47579,4981141,7798447,3577334,68144,299574,11557,80054,627423,105510,260785,112945,62343,777969,738099,173604,54214,399959,691466,388454,393813,195762,148265,41451,922095,151059,108664,43883,108417,988433,701858,460773,87896,344145,3162219,4423963,200930,818995,4114101,318827,45923,384118,423755,1155130,342680,72481,108977,157930,92829,198573,193018,1602383,1638496,2305537,330904,437743,699289,165050,120728,855145,184039,292571,210172,456066,56824,354789,294708,216179,354022,239181,54210,988433,1064228,701858,103411,68983,31999,87896,344427,72481,48163,42336,1524717,145671,154041,368085,1573746,1638496,210127,826637,532541,423755,184039,49802,76078,56824,20008,185266,198854,185027,870146,437743,1156193,293096,108977,456066,354789,76693,216179,353451,41200,164960,132083,294708,347854,123660,45703,26438,63869
10,Cold,Plasma,Plasma_Cold,100,13570,5654,50216,19515,11307,147074,27528,16969,49839,312280,447594,80129,5144,402267,355685,3681812,207997,2793542,432273,2218309,59459,55614,48820,37564,356533,21564,165953,498409,1814241,33778,101231,354390,24762,23407,242870,25017,32912,4947204,84658,52673,8807,3510337,768187,317981,2399657,38302,47327,123504,47650,10766,51424,394896,32716,23771,11744,287499,20748,154261,154468,17618,96006,2386422,134675,106947,69353,883656,370950,243401,301267,9939264,19524400,473863,332338,2215082,11193369,764479,13955799,395456,993813,106900,34737,177607,26921,122402,441444,152283,191738,92259,57246,592551,2060979,15521712,231989,1335241,7285747,392944,37796,100822,459644,5573367,704937,2558670,447449,347859,1704077,989856,2636789,390925,507115,68794,32601,266190,45318,194382,108498,70265,640582,111600,96315,407220,138895,48916,79797,98868,23476,29815,16785,61680,10594,10757,208535,21041,74848,282961,25873,27504,26259,18494,25067,76778,47356,6232384,8177766,4260761,66422,324982,14065,96640,802356,125910,335514,151844,72556,999373,869444,173359,75329,423068,1031524,483813,433847,217126,189246,38215,1062511,202266,172665,19322,70116,1372759,1106312,635317,111071,330572,4873655,6511884,277188,938589,5711007,530790,104584,376064,552371,1312815,487910,99745,149673,129400,124431,206196,238274,1842584,1946513,2451632,409491,565568,653895,165172,132841,755926,261924,368555,231814,398949,58417,435025,312365,277554,371461,231038,54213,1376820,1362497,1117991,93170,96101,29865,111071,330572,99745,102011,25028,2380648,124640,134169,428168,1818664,1986617,277188,753419,557835,552371,261631,55780,66239,72368,24230,219727,205349,226528,937930,565833,1313501,347691,149673,398949,435438,65221,271766,375737,38677,179842,154565,312365,371461,132841,45423,24004,63840
11,Cold,Plasma,Plasma_Cold,100,14989,8937,56949,32632,14890,158482,33774,25750,52064,354277,465134,105583,4736,508008,394705,3655664,197588,3036260,408901,2068815,54008,59195,40320,37453,307939,20757,134830,486736,1624943,23488,110219,313944,21290,14273,223413,21922,29643,4005493,70212,44192,6353,2718136,673898,327929,1981918,21684,37799,121154,40336,8261,44150,325315,28928,21893,12552,222667,23748,157942,136584,23309,77544,2500528,146252,105611,55978,950108,334609,230340,262000,9791107,19379942,293160,168797,1514015,9526199,613221,11667985,362563,795281,95875,26724,126978,21694,129399,412263,171667,187479,74058,48227,559644,1891853,13637705,213907,996144,6050463,305293,43054,97050,436605,4853913,690161,2435547,417332,330839,1480575,850894,2194786,321390,429974,60272,23315,207714,45316,229373,117848,60508,496070,84004,77259,351249,120292,27259,59660,71866,19261,27591,12770,46198,6901,5804,127493,23837,73874,217110,26276,30076,19516,17666,18877,72042,48601,5356152,7324656,3493245,41841,337715,13183,106123,809522,131218,362085,136533,69155,880818,772752,161941,74899,428655,971117,463479,405390,111589,72167,29226,1103897,166855,108804,81520,71857,820387,437660,387778,105325,265050,2214280,2538651,154497,487476,2141406,185512,33053,248546,274471,598147,176203,32110,55401,64531,108249,119619,127420,1027201,894254,1098812,189060,338670,312432,148811,94389,398525,89877,242013,152312,286774,51813,387430,288581,204525,284190,154116,67475,820239,877736,437660,80875,35209,14656,113510,265050,32110,33053,29016,1120330,144299,144548,272070,1009944,894254,156994,398525,315282,274471,93825,43039,40017,50851,11124,136679,121702,136338,487476,338670,612304,242013,55401,284597,387541,43012,204525,166945,19804,148811,149329,290286,284190,94389,47877,22660,60490
12,Cold,Plasma,Plasma_Cold,100,12782,7295,53362,25868,14416,133483,28493,22339,38459,307948,393522,102425,3930,423263,401218,3200232,138387,2389047,254368,1710815,53158,59117,48816,33623,215529,12048,115915,250038,1090274,15575,85930,189250,11544,10510,131045,16290,21803,2569725,46737,29433,3539,1989960,406838,266180,1562593,21892,30779,57219,21258,4628,20713,249097,19676,12830,8480,190511,17169,114632,111431,8486,52971,2073757,97340,87610,42974,539883,205810,139625,181283,5784303,18418952,292979,136750,846080,7122131,405244,9856594,233447,569981,54439,21547,88640,18700,68250,340967,95137,148627,82606,58450,453521,1157375,13843689,165489,637529,6330116,292292,24138,43768,316845,4870714,541789,2346717,261394,262187,955789,634393,1934639,212407,330628,38748,18991,168201,28083,188733,128729,56549,327375,58477,46563,236866,94438,39601,35242,40615,13009,26640,8652,54094,7894,10905,111306,15434,68527,147313,NA,27467,102699,8500,14559,69778,35968,4012496,7451040,3569090,49741,288834,10917,75593,641179,102139,227773,88429,52435,669162,495209,139232,36369,325004,781963,306207,288776,135023,106949,34878,935356,137355,96195,62184,95506,788866,503726,363062,114417,275503,2299984,3150036,150868,561441,2848532,227735,51152,261262,247297,717079,239274,44905,123887,105604,100547,160969,155391,1307729,1255463,1643531,264833,409677,477881,144493,114323,489083,120915,284248,232212,313282,72112,415021,317325,215487,339737,218355,57265,790416,811904,506490,58305,42237,21301,114417,275503,44905,55373,47896,149785,75419,123262,370467,1282857,1255463,144791,489083,NA,247297,120915,45598,39440,77244,21757,153183,160969,153274,561441,415509,665640,284248,123270,279805,415021,86137,215487,249975,15509,143175,150182,317325,339737,114323,50183,22908,65578
